Timestamp,Count,Configuration Version,Status Version,Calibration Action,
1477676358776,21271,1,2,0
1477676358777,21271,1,2,0
1477676358778,21270,1,2,0
1477676358779,21272,1,2,0
1477676358780,21272,1,2,0
1477676358781,21271,1,2,0
1477676358782,21272,1,2,0
1477676358783,21272,1,2,0
1477676358784,21270,1,2,0
1477676358785,21271,1,2,0
1477676358786,21270,1,2,0
1477676358787,21271,1,2,0
1477676358788,21272,1,2,0
1477676358789,21273,1,2,0
1477676358790,21273,1,2,0
1477676358791,21273,1,2,0
1477676358792,21274,1,2,0
1477676358793,21272,1,2,0
1477676358794,21273,1,2,0
1477676358795,21272,1,2,0
1477676358796,21274,1,2,0
1477676358797,21273,1,2,0
1477676358798,21273,1,2,0
1477676358799,21274,1,2,0
1477676358800,21273,1,2,0
1477676358801,21274,1,2,0
1477676358802,21274,1,2,0
1477676358803,21274,1,2,0
1477676358804,21272,1,2,0
1477676358805,21275,1,2,0
1477676358806,21275,1,2,0
1477676358807,21276,1,2,0
1477676358808,21274,1,2,0
1477676358809,21274,1,2,0
1477676358810,21285,1,2,0
1477676358811,21278,1,2,0
1477676358812,21277,1,2,0
1477676358813,21278,1,2,0
1477676358814,21278,1,2,0
1477676358815,21278,1,2,0
1477676358816,21280,1,2,0
1477676358817,21279,1,2,0
1477676358818,21278,1,2,0
1477676358819,21279,1,2,0
1477676358820,21279,1,2,0
1477676358821,21279,1,2,0
1477676358822,21279,1,2,0
1477676358823,21280,1,2,0
1477676358824,21279,1,2,0
1477676358825,21281,1,2,0
1477676358826,21280,1,2,0
1477676358827,21279,1,2,0
1477676358828,21279,1,2,0
1477676358829,21280,1,2,0
1477676358830,21280,1,2,0
1477676358831,21280,1,2,0
1477676358832,21281,1,2,0
1477676358833,21279,1,2,0
1477676358834,21280,1,2,0
1477676358835,21281,1,2,0
1477676358836,21279,1,2,0
1477676358837,21280,1,2,0
1477676358838,21282,1,2,0
1477676358839,21281,1,2,0
1477676358840,21282,1,2,0
1477676358841,21281,1,2,0
1477676358842,21282,1,2,0
1477676358843,21281,1,2,0
1477676358844,21281,1,2,0
1477676358845,21281,1,2,0
1477676358846,21282,1,2,0
1477676358847,21282,1,2,0
1477676358848,21283,1,2,0
1477676358849,21284,1,2,0
1477676358850,21282,1,2,0
1477676358851,21283,1,2,0
1477676358852,21285,1,2,0
1477676358853,21284,1,2,0
1477676358854,21285,1,2,0
1477676358855,21286,1,2,0
1477676358856,21284,1,2,0
1477676358857,21285,1,2,0
1477676358858,21286,1,2,0
1477676358859,21285,1,2,0
1477676358860,21286,1,2,0
